N,SongName,SongString
22,o_gladsome,b0b0b0bb-2b+2b-2b-2bb-1b+3b0b-2b+2b+2bb0b0b0b-2bb+2b-2b-2bb0b0bb0bb+2bbb+2b+1bb-1b-2b+2bb+1bb+2bb-3bb-2bb-2bb-1bbb0b-2bb+2b0b+1bb0b0b+5bb0b0b-1bbbpb
23,shepherd,pbbbbbbbbbbbbbbbbbb+5bb+2bb+1bb+3bbbbbb+1bbbbbb+2bb-2bb-1bb-3bbbbbb-1bbbb0bb-2bb-1bb-3bb+3bbbbbb-4bbbbbb+1bb-1bb-2bb+2bbbbbbbbbbbbpbb+6bb0bb+2bb+2b0b+2bbbb-2bb+2bbbbbb0bbbbbb+2bbbb-2bb-1bb0bb0bbb-5bb-3bb+5bbpb+2bbbb-3bb-2bb-3bb+5bb-2bb0bbbbpbbbbbbbbbbbbbbbbbb
24,thehappywhistler,bb0bb+5b0bpb0bb+4bb+3b+2b-2b-7bpb+4-2b-2b-3-2bb+9bb0bb-4b+2bpbbbb-7b0bb+5bb0bb+4bb+3b+2b-2b-2b-1b-2b-2b-3b-2bb+9bb0bb-2b-2bpbbbb+7b+2b0b+3bb0bb-3bb-2b+2b-2b-3b0b-2b-2b0b+4bb+3bb0bb-3b+3bpbbbb0bb+2b0b+3b0b0bb-3bb-2b+2b-2b-3b0b-2b-2b-3b-2bb+9bb0bb-2b-2b
25,girlinthedark,b+8b-1bbb-2b+2b-2b+2bbbb-7b+8b-1bbb-2b+2b-2b+2bbbb-2b+8b-1bbb-2b+2b-2b+2bbbb+1bb-9bbbbpbb-4bb+8bb-1bbb-2b+2b-2b+2bbbb-7b+8b-1bbb-2b+2b-2b+2bbbb-2b+8b-1bbb-2b+2b-2b+2bbbb+1bb-9bbbbpbb-4b+8bb-4bb+3bbbbbb-2bb0bb+7bb-2bbb-2b+2b-5b+3bb-3bb-5bb+1bbb+4b+2b-2b+7bbbb-4bb+5bbb-1b+1b-3b+2bb+5bb+3bb-1bbb-5b+6bb-1bbbbbb
26,spider,pbbbbbb-3bb-1bb+1bb+7bbbb-2bb-2bb-2bb-4bb+3bb-2bbbb+3bb-4bb+1bb+10bbbb-1bb-7bbbbbb0bbbbbb0bb+4bb+3bb+5bbbb-2bb0bbbb-1bb-1bbbbbb-10bb+4bb+3bb+5bbbb-2bb-1b0b+1bb+1bb+1bbbbbb+2bb0b-5b+3b-2b-8bb0b+3b+4b-2b0bbbb-4bb0bbbbbb+6b0b-1b+1b+3bpb-5bbbb+2bb-2bbbb-2bb+9bbbbbb-7bb-1bb+1bb+4bbbb+3bb-3bb-4bb+7bb-2bbbbbb-5bbbb+2bb+1bbbb-3bb+2bbbbbbpbbbb-4bb+5bb-1bb+1bb-1bb-3bb+3bb-2bb-9bb+9bb-2bbbb0bb+3bb0bb0bb-1bb-5bb+3bb0bb-2bb-1bb+1bbbb-1bb0bb-1bb+1bb+1bb-1bb+1bb+2bb-1bb+3bb-2bbbbbb-1bb0bb+1bb+2bb-3bb-4bb+9bb0bb-2bb-2bbbbpbb
27,timeformuehlebach,bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbb+4bbbb-4bbbbpbbbb-10bb+3b0bbbb-2bb+2bbbbbbbbbbbbbbbb-2bbbb-1bb+1bpb+2bbbb-3bbbb+1bbbbbbbbbbbbbbbb0bbbbpbbbb
28,daybyday,pbb0b-4bpb+2bbbbbbbpbbb-4b+2bpb0bbbbbbpbb0b0bb0b+5bbpb-3bbbbpb-4bbpb+2bb+2bb0bbpb0bbbbbbpbbbbbbbbbbbb0b+5bb+5bb+2bpb-3bb-2b0bbbbpbb+3bb0b0bbpbb+2bbpb-3bb-2b0bbbbpbb+1b-1b0bbbpbbbb+2b0bbpbbbb-3b-2b-4bbb+2bbbpb+2b-2b+2bbbbpbb0bbbbbbpbbb-4b+2b0bbbbbbpb
29,roses,b-2b-2b-1b+1b+4b+3b+1bbbb+1bbbb-4bb-1b-2b-1b+1b+3b+4b+1bbbb+1bbbb+3bb-2b-1b0b+1b+2b-2b0bbbb-4bbbb+1bbb-10b0bbbb+10bbb-5b0bbbb0bb-2b-2b-1b+1b+4b+3b+1bbbb+1bbbb-4bb-1b-2b-1b+1b+3b+4b+1bbbb+1bbbb+3bb-2b-1b0b+1b+2b-2b0bbbb-6bbbb+3bbb-10b0bbbb+10bbb-2b0bbbb0bbbb0bpb
30,letitend,bbbbbb0bbbbbb-2b+2b+2bb-2b-2b+2bb+2b-7b+2bbbbbb+3b+2b+1bb-1b-2b+2bb+1b-6b0bbbbbb+5b+1b+2bb-2b-1b+1bb+2b-5b-2bb+2b+2b0b+1b+2b+2b0bb-2b-2b+2bb+2b-7b0bbbbbb-2b+2b+2bb-2b-2b+2bb+2b-7b+2bbbbbb+3b+2b+1bb-1b-2b+2bb+1b-6b0bbbbbb+5b+1b+2bb-2b-1b+1bb+2b-5b-2bb0b+2b+2b+1b+2b+2b0bbbb0b-2b+2b+2b0bbbb0b-2b+2b+1b0bbbb0b-1b-2b+3b0bb0bb-1bb-2b-2b0bbbb0b0b+2b+2b0bb-1bb-1bb-2b-2b0bbbb0b0b+2b+1b-1bb+1bb-2bb0b-2b0bbbbbbbb0bbbbpb+5b+2b+1b
31,light_myLife,pbpbb+3bb-3b+5bb-5b+3bb-3b+5bb-5b+3bb+2b+2bb+1bpb-7bbbbb0bpb+4bb-4bpb+6bb-6b+4bb-4b+6bb-6bpb+4bb+2b+1bb-1b0bpbpb0bpb+3bb-3b+5bb-5b+3bb-3b+5bb-5b+3bb+2b+1bb-1b+4bbbbb0b+2bb-2b-2bb-1b+3bb-2b-3bb-4bb-1bb-2b+6bb-6bpb+5bbbbbb-3bb+3bb+4bb-2bbbb-5bb+3bb+3bbbbbbbbpbb-3bb+3bb+4bb-2bbbb-5bb-4bbbbbbbbbbpbb-3bb+3bb+7bb-1bbbbbb-9bb+3bb+6bb-2bbbb0bb-2bbbb-5bb+5bbbb-4bb+1bb+4bbbbbbbbpbb-3bb+3bb+4bb-2bbbb-5bb+3bb+3bbbbbbbbpbb-3bb+3bb+3bb-1bb0bb-2bb-4bbbbbbbbbbpbb-3bb+2bb+1bb+11bbbb-2bb-2bb-8bb+3b0bpb+4bbbb+8bbbbpbb0bb+2bbbbpbb-3bbbb0bb-4bbbbbb0bbbbpbb
